feature,genuine_mean,genuine_std,deepfake_mean,deepfake_std,mean_difference,percent_difference,t_statistic,t_p_value,effect_size,u_p_value,ks_p_value,significant_t,significant_u,significant_ks
physics_delta_ft_revised,0.06780864422519998,0.016130812815637222,0.06799589702859515,0.02245215199459803,0.0001872528033951687,0.27614886794267923,-0.030728945895432992,0.975646537800314,-0.009917724641626727,0.648727957492339,0.5377063863066543,False,False,False
physics_delta_fr_revised,7.111664295196533,0.3653662685810659,7.312720417976379,0.2673195134687965,0.2010561227798462,2.8271317997342273,-1.8868090486480333,0.0668436661302236,-0.6089650019072743,0.1187964420955191,0.20536232095907972,False,False,False
physics_delta_fv_revised,1.2879819547136624,0.5485981927686374,1.093074344098568,0.2967995155783446,-0.19490761061509443,-15.132790479073543,1.2965888057311636,0.202591363204574,0.41847223762298,0.3550366386519953,0.7540250589217969,False,False,False
physics_delta_f_total_revised,8.467454850673676,0.66852638428772,8.4737908244133,0.3253628990178216,0.0063359737396240234,0.07482736963303595,-0.03512899844280395,0.9721607652539741,-0.011337835494827163,0.5344829508949708,0.2682495834091175,False,False,False
